Deadline,Scholarship Name,Award amount,Education Level,Link,Open date,Eligibility
January 7,Jack Kent Cooke Foundation Undergraduate Transfer Scholarship,"Up to $55,000",Undergraduate,https://www.jkcf.org/our-scholarships/,October 1,Bachelor’s degree at any accredited four-year undergraduate institution in the U.S. pursuing any area of study
January 8,Diller Teen Tikkun Olam Awards,"Up to $36,000",High school,https://dillerteenawards.org/apply/,August,"15-19 years old by application deadline
Identify as Jewish
A resident of the United States (continental U.S., Alaska, or Hawaii)
Applicants’ project leadership must be conducted from the U.S., though projects may have global reach
Currently serving in a leadership role on an initiative that is having measurable impact and embodies the values of tikkun olam (repairing the world)
Volunteering without any compensation"
January 9,Pride Foundation Scholarship,Varies,"High school, Undergraduate, Graduate",https://pridefoundation.org/find-funding/scholarships/,October 11,"Applicants must be a resident of Alaska, Idaho, Montana, Oregon, or Washington but may study elsewhere
Applicants must be pursuing post-secondary education in the coming 2026-2027 school year"
January 10,Love your Career Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.jonestshirts.com/pages/scholarship,,Any student who will be enrolled in a college or University. This scholarship is limited to students attending school in the 50 U.S. states.
January 10,Kelly Lynn Lutz Memorial Scholarship,"Up to $8,000","High school, Undergraduate, Graduate",https://www.kllscholarshipfund.org/scholarship,,"Lost the life of at least one parent (biological or not) to cancer before the age of 22.
Be a US citizen and live in Kansas or Missouri.
Attend a 2- or 4-year (minimum) higher education establishment.
Have an interest in education, arts, environment, math, or science.
Show service involvement in the community, church, school, or other non-curricular activity.
Indicate financial need."
January 12,John F. Kennedy Profile in Courage Essay Contest,"$1,000-$10,000",High school,https://www.jfklibrary.org/learn/education/profile-in-courage-essay-contest/getting-started,September 1,"Open to United States high school students in grades nine through twelve attending public, private, parochial, or home schools; U.S. students under the age of twenty enrolled in a high school correspondence/GED program in any of the fifty states, the District of Columbia, or the U.S. territories; and U.S. citizens attending schools overseas"
January 15,APIA Scholarship Program,"$2,500-$20,000",Undergraduate,https://apiascholars.org/scholarship/apia-scholarship/,November 15,"Be a citizen, national, or legal permanent resident of the United States. Citizens of the Republic of the Marshall Islands, the Federated States of Micronesia, and the Republic of Palau are also eligible to apply.
Be enrolling or continuing as a degree-seeking undergraduate student in a U.S. accredited college or university in fall 2026. Full-time and part-time degree-seeking students are eligible. "
January 15,FOSSI Scholarship,"$10,000",High school,https://futureofstemscholars.org/fossi/apply,September 26,"Be a citizen or legal permanent resident of the United States
Complete or have completed high school with a minimum GPA of 3.0 on a 4.0 scale (unweighted) and be entering their freshman year of college
Pursue studies in a pertinent chemical and engineering industry STEM field
Attend an HBCU for the entirety of their college education
Have interest in pursuing a career in chemical manufacturing, engineering, environmental health and sustainability or other related chemical-industry fields
Demonstrate financial need"
January 15,Amazon Future Engineer,"Up to $40,000",High school,https://www.amazonfutureengineer.com/scholarships,,"Be a high school senior in the U.S. who is currently enrolled in or who has completed a high school or college dual degree course where computer science is the subject. Students who have not taken this course can opt-in to take an assessment offered by Amazon.
Be planning to attain a bachelor’s degree in computer science, software engineering, computer engineering, electrical engineering, or other computer science related field of study from an accredited 4-year college or from a 2-year college with the intent to transfer to a 4-year college.
Must be authorized to work in the U.S. Example: Employment Authorization Document holder, Permanent Resident, or U.S. Citizen.
Have a minimum cumulative grade point average of 2.3 on a 4.0 scale (or its equivalent).
Must demonstrate financial need. This opportunity is to support students with a substantial need for financial assistance."
January 16,Ohio Soybean Council Foundation,"$3,000-$5,000","High school, Undergraduate, Graduate",https://www.soyohio.org/association/osa-scholarship/,October 27,"Applicants must be current full-time college, university, or technical school students, or high school seniors planning to enroll full-time. All majors are eligible, but candidates should show strong interest in the soybean industry and agricultural advocacy, along with leadership or involvement in ag-related organizations like FFA or 4-H. Applicants must be Ohio residents and either a Student or Young Adult Member (SYA) of the Ohio Soybean Association, a student of a FFA Chapter member, or the child/grandchild of a current member."
January 17,Safe Jobs for Youth Month Poster Contest,Up to $300,"K-8, High school",https://youngworkers.org/safe-jobs-for-youth-month/,,California teen between 14 and 18
January 19,Young Trailblazers Scholarship,"$5,000","High school, Undergraduate, Graduate",https://liveoutloud.org/programs/young-trailblazers-scholarship/,,"Part of the LGBTQAI+ Community
Reside within New York State
Are Continuing their Education Post High School Graduation, which includes College/University, Vocational/Trade Schools, and Certification-Based/Licensing Programs, e.g. Esthetician/Cosmetology School, Medical Assistant Program, X-Ray Technician Certification, Performing Arts Programs, etc."
January 20,Innovation in Education Scholarship,$500,"High school, Undergraduate, Graduate",https://www.latutors123.com/scholarships/innovation-in-education/,,"Must currently be enrolled as a high school, college/university, or graduate student.
Must have a cumulative GPA of at least 3.0 (or the equivalent)."
January 20,Joy Cappel Scholarship,"$2,500","High school, Undergraduate, Graduate",https://www.rockland.com/joy-cappel-scholarship/?srsltid=AfmBOoqBGrWtGb0S2aZ9VXuVxHh4o3BPuEwCVg8uSYSEhnlfTU6hrvzu,,"Must be a high school senior, undergraduate, or graduate student currently accepted or enrolled at a college or university in the United States for the upcoming fall or spring term
Intended major must be in Life Sciences or a related field"
January 20,C-SPAN’s StudentCam Documentary Competition,"$250-$5,000","K-8, High school",https://www.studentcam.org/,August,"Open to entrants currently enrolled in middle or high school in any state in the United States, the District of Columbia, and U.S. territories. International students in the equivalent of U.S. grades 6-12 and aged 18 years or younger may also participate. Students may be enrolled in public or private schools, or be home-schooled."
January 29,Waddler White Coat Scholarship,"$250, $750, $1,000",Graduate,https://www.blackgirlwhitecoat.org/scholarship,January 16,"Students enrolled in medical school in the United States or its territories (including American Samoa, the Commonwealth of the Northern Mariana Islands, Guam, Puerto Rico, and the U.S. Virgin Islands) 
International medical students (US citizens and non-US citizens with academic visas) who attend the following programs St. George's University (SGU), Ross University School of Medicine (RUSM), American University of the Caribbean (AUC), Saba University School of Medicine, and American University of Antigua (AUA)"
January 30,Technology Addiction Awareness Scholarship,"$1,000","High school, Undergraduate, Graduate",http://www.digitalresponsibility.org/technology-addiction-awareness-scholarship,,"You must be a high school freshman, sophomore, junior, or senior or a current or entering college or graduate school student of any level. Home schooled students are also eligible. There is no age limit. You must also be a U.S. citizen or legal resident. "
January 30,RACA Annual College Scholarship,"$1,000",High school,https://www.racafund.org/scholarship-competition,,"Must be a U.S. or naturalized citizen
Must be ages 16-18
Must be a high school senior
Must have cumulative GPA of 3.0 or above"
January 31,Mas Family Scholarships,Varies,"Undergraduate, Graduate",https://jmcff.org/apply,October 15,"Students can apply for a Mas Family Scholarship if they were born in Cuba or are of direct Cuban descent.
Have a minimum GPA of 3.5 on a 4.0 scale.
Must be enrolled full-time in an accredited college or university for the upcoming academic year while pursuing an undergraduate or graduate degree."
January 31,Advocates Law Continuing Education Scholarship,"$1,000","High school, Undergraduate",https://www.advocateslaw.com/scholarship/,,"All prospective or current students enrolled in an accredited university or college, located within the United States may submit an application."
January 31,Baer Reintegration Scholarship,Varies,"High school, Undergraduate, Graduate",https://www.reintegration.com/2023-application-process,,"Be diagnosed with bipolar disorder, schizophrenia or schizoaffective disorder
Be currently receiving medical treatment for the disease, including medications and psychiatric follow-up
Be actively involved in rehabilitative or reintegration efforts, such as clubhouse membership, part-or full-time employment, volunteer efforts or
school enrollment.
Be a U.S. citizen or legal resident and plan to attend a school in the United States
Be age 18 years or older"
January 31,Flavorful Futures Go Green Scholarship,"$5,000",High school,https://apply.mykaleidoscope.com/program/flavorsfuturegogreen2026,October 1,"Must be a U.S. citizen or permanent legal resident of the United States.
Must be a high school senior
Must have a cumulative high school grade point average (GPA) of at least 2.5 on a 4 point scale (high school/home schooled seniors).
Must intend to pursue a degree related to environmental studies
Proof of involvement in sustainable initiatives and projects (volunteering work, job, etc.)
Must enroll as a freshman or 1st year student in part-time or full-time study at a 2-year, 4-year, college, university, trade or vocational school"
January 31,Flavorful Futures Scholarship,"$5,000",High school,https://apply.mykaleidoscope.com/program/flavorfulfutures2026,October 1,"Must be a U.S. citizen or permanent legal resident of the United States.
Must be a high school senior graduating between August 1, 2025 and July 31, 2026.
Must have a cumulative high school grade point average (GPA) of at least 2.5 on a 4 point scale (high school/home schooled seniors).
Must enroll for Fall 2026 as a freshman or 1st year student in part-time or full-time study at a 2-year, 4-year, college, university, trade or vocational school. "
January 31,Return 2 College Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.return2college.com/awardprogram.cfm,,Applicants must be U.S. citizens or legal residents who are starting a program of higher education (college or graduate school) within the next 12 months or are currently full- or part-time students. Applicants must be age 17 years or older. There is no maximum age limit.
January 31,The Morgan Law Group Scholarship,"$1,500-$2,500",Graduate,https://policyadvocate.com/scholarship-application/,January 31,"Hold a minimum 3.0 GPA
Be accepted or attend a law school in the U.S.
Be a U.S. Citizen or legal resident who is authorized to work in the country"
January 31,Greene & Phillips Scholarship Program,"$2,000",High school,https://www.greenephillips.com/scholarship/,,"All current high school seniors in the United States can apply. 
4 scholarships will be awarded to students in Alabama, and the remaining winner can be anywhere within the United States. 
Scholarships can only be used at accredited colleges, universities, community colleges, and trade schools."
January 31,J&Y “Books for Good” Scholarship,$300,"High school, Undergraduate, Graduate",https://jnylaw.com/scholarship/,,"Students at accredited colleges, trade schools, universities, and graduate schools in the United States "
February 1,The Roothbert Fund,"$5,000-$7,000","Undergraduate, Graduate",https://www.roothbertfund.org/scholarships,November 1,"Applications from graduate students, as well as undergraduates with one year of college completed, are preferred.
Applications from candidates who reside in or attend schools in the following states are preferred: Connecticut, District of Columbia, Delaware, Maryland, Maine, Massachusetts, New Hampshire, New Jersey, New York, North Carolina, Ohio, Pennsylvania, Rhode Island, Vermont, Virginia, West Virginia."
February 1,National Garden Clubs Scholarship Program,"Up to $4,000","Undergraduate, Graduate",https://gardenclub.org/sites/default/files/2023-11/scholarship-application-guidelines.pdf,,"Must be a US Citizen or Permanent Legal Resident of the United States.
Must be attending school full-time as an undergraduate and graduate students
Must have a cumulative GPA of at least 3.25 (on a 4.0 scale).
Must be planning a career related to gardening, landscape design, environmental issues, floral design, or horticulture"
February 1,1 for 2 Education Foundation Scholarship,"Up to $25,000","High school, Undergraduate, Graduate",https://www.1for2edu.com/scholarship/#requirement,,"GPA must be at least 3.7 unweighted, 4.0 weighted
Applicant must be living in the United States but is not required to be a U.S. citizen or permanent resident
The applicant’s chosen college or university must be located in the United States"
February 1,NAJA Scholarship,Varies,Graduate,https://www.najanet.org/naja-scholarship,September 1,"Working or planning to work directly with children.
Pursuing graduate level studies for one (1) year in fields which address the special needs of children and youth; this includes, but is not limited to, Counseling, Psychology, Mental Health, Special Education, Speech Pathology, Exceptional Children, Remedial Skills Development, Hearing Impaired, and Gifted & Talented. Scholarships are not awarded for graduate work in administration or general education.
A U.S. citizen and a permanent resident of a state with a Junior Auxiliary Chapter: Alabama, Arkansas, Florida, Louisiana, Mississippi, Missouri, and Tennessee.
Planning to attend a U.S. college or university for full-time or part-time study."
February 1,Winston Classical Voice Scholarship,Varies,"High school, Undergraduate",https://www.arts-nsal.org/scholarships/winston-voice-scholarships/,,"Young classical singers between the ages of 16 and 22
Applicants must demonstrate exceptional talent and promise of future success
Provide proof of United States Citizenship or Naturalization"
February 1,Naomi Rabb Winston Visual Art Scholarship,Varies,"High school, Undergraduate",https://www.arts-nsal.org/scholarships/winston-art-scholarships/,,"Young classical singers between the ages of 16 and 22
Applicants must demonstrate exceptional talent and promise of future success
Provide proof of United States Citizenship or Naturalization"""
February 1,Bulkofficesupply.com Scholarship,"$1,000","High school, Undergraduate",https://www.bulkofficesupply.com/scholarships-in-new-york,September 15,"Open to high school students and current college students
Passion for teaching, art, science, technology, entrepreneurship, or any other field of study"
February 1,Gold Star Mission Educational Scholarship,"$1,000","High school, Undergraduate, Graduate",https://goldstarmission.org/Scholarship.php,November 1,"Applicants must be a high school senior at the time of application, have either a high school diploma or GED, or be currently enrolled in an accredited college or certificate granting institution (such as vocational school) with an Illinois connection"
February 2,Houston Livestock Show and Rodeo Scholarship,"Up to $20,000",High school,https://www.rodeohouston.com/scholarships-and-grants/how-to-apply/,December 1,"Be a U.S. citizen and Texas resident.
Graduating high school senior from eligible school
Complete the Free Application for Federal Student Aid available December
Plan to attend an accredited, not-for-profit university in the State of Texas
Have met minimum score requirement for either SAT or ACT"
February 5,Jimmy Rane Foundation Scholarship,"$500 to $5,000","High school, Undergraduate",https://www.jimmyranefoundation.org/scholarship-about,December 1,"A minimum grade point average (GPA) of 3.0 for graduating high school seniors
A minimum grade point average (GPA) of 2.75 for full-time college students as a college freshman or sophomore, no older than 20 years
All applicants must reside (permanent home address) in one of the following states or the District of Columbia: Alabama, Arkansas, Delaware, Florida, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maryland, Mississippi, Missouri, Nebraska, New Jersey, New York, North Carolina, Ohio, Oklahoma, Pennsylvania, South Carolina, Tennessee, Texas, Virginia or West Virginia. "
February 6,Injury Scholarship,"$1,000","High school, Undergraduate",https://harrispersonalinjury.com/injury-scholarship/,,"Applicant must be currently enrolled in an accredited high school, college, or university in the US.
Applicant must be enrolled as either an undergraduate or in their final year of high school.
Applicant must be at least 17 years of age."
February 6,Ag Day Essay Contest,"$500-$1,500",High school,https://www.agday.org/essay-contest,,"The contest is open to students in grades 9 through 12 in the 2025-2026 school year
Contestants must be a U.S. citizen and attending school in the U.S. "
February 6,"AMS First-Year Undergraduate Scholarships
","Up to $5,000",Undergraduate,https://www.ametsoc.org/ams/information-for/students/ams-scholarships-and-fellowships/ams-first-year-undergraduate-scholarship/,,"Applicants must be U.S. citizens or hold permanent resident status.
Applicants must be entering their freshman year of college in the fall of 2026 as a full-time student and plan to pursue a degree in the atmospheric or related oceanic or hydrologic sciences. Marine biology does not meet this requirement.
Applicants must have a GPA of 3.0 on a 4.0 scale."
February 11,Scholarships for Military Children,"$2,000","High school, Undergraduate",https://www.fisherhouse.org/programs/scholarship-programs/scholarships-for-military-children/,,"Open to unmarried military dependent children under the age 23 who possess a valid Uniformed Services Identification (USID) card
Student's parent(s)/sponsor(s) must be one of the following: active duty, reserve/guard, deceased, or retired from the Army, Marine Corps, Navy, Air Force, Coast Guard, or Space Force.
Must be enrolled or planning to enroll in a full-time undergraduate program leading to a bachelor’s degree or a community/junior college designed to allow for a direct transfer into a four-year program.
High school applicants must have a minimum cumulative GPA of 3.0 (on a 4.0 basis).
College applicants must have a minimum cumulative GPA of 2.5. College freshmen must submit a first-semester college transcript."
Feburary 12,Past Chairs’ Legacy Scholarship,"$2,500","Undergraduate, Graduate",https://www.hydro.org/awards/past-chairs-legacy-scholarship/,January 2,"Current college sophomores or juniors who will be college juniors or seniors beginning fall 2027, or graduate students with a minimum cumulative 3.0 grade point average on a 4.0 scale (or equivalent) GPA who are enrolled in a full-time undergraduate or graduate course of study at an accredited four-year college or university
All applicants must be U.S. Citizens or legal residents.
Applicant must be pursuing a program of study that is related to the waterpower industry: Engineering, Sciences (biology, fisheries, and hydrology), Communications, or Environmental Studies."
Feburary 12,High School Poster Contest,"$250-$1,000",High school,https://www.christophers.org/highschoolpostercontest,,High school students (Only students living in United States are eligible to enter) in grades 9 through 12
February 13,WhataBurger: The Feeding Student Success Scholarship,"$5,000","High school, Undergraduate, Graduate",https://apply.mykaleidoscope.com/program/FeedingStudentSuccessScholarship2627,January 1,"Will have graduated high school by the end of the 2025-2026 school year
Have a minimum cumulative GPA of 2.5 on a 4.0 scale for high school graduates or college students
Are pursuing their first associates, undergraduate degree, graduate, or technical school certificate at a 2-year, 4-year, or not-for-profit vocational school.
US Citizen or Legal Resident
Must either live in or be planning to attend school in one of the brand's 17-state footprint. These states include: Alabama, Arizona, Arkansas, Colorado, Florida, Georgia, Kansas, Louisiana, Mississippi, Missouri, Nevada, New Mexico, North Carolina, Oklahoma, South Carolina, Tennessee, Texas"
February 13,Jeannette Rankin Foundation Scholarship,"Up to $2,500",Undergraduate,https://rankinfoundation.org/national-scholar-grant/,November 3,Provides unrestricted non-tuition funding and support to women and nonbinary students across the country who are age 35 and older and demonstrate financial need
Feburary 13,BSP Law Charitable Foundation Joel Stern Scholarship ,"$5,000",Graduate,https://bushseyferth.com/49qFovb,,Current law student enrolled and in good standing at a law school
February 13,POET Never Satisfied Scholarship Program ,"$2,500-$5,000","Undergraduate, Graduate",https://poet.com/neversatisfied#scholarships,January 1,"Students in the U.S. enrolled in any accredited two- or four-year post-secondary or technical school, including graduate students, regardless of GPA, are eligible to apply. 
Majors applicable for these scholarships are Agriculture, Finance, Accounting, Communications, Engineering, Computer Science, Human Resources, or related degrees or minors."
February 14,AMS Freshman Undergraduate Scholarships,"$5,000",Undergraduate,https://www.ametsoc.org/index.cfm/ams/information-for/students/ams-scholarships-and-fellowships/ams-freshman-undergraduate-scholarship/,,"Applicants must be U.S. citizens or hold permanent resident status.
Applicants must be entering their freshman year of college in the fall of 2026 as a full-time student and plan to pursue a degree in the atmospheric or related oceanic or hydrologic sciences. Marine biology does not meet this requirement.
Applicants must have a GPA of 3.0 on a 4.0 scale"
February 14,ACB Scholarships,"$2,000 to $7,500","Undergraduate, Graduate",https://www.acb.org/scholarships,November 1,"Open to freshman, undergraduate and graduate students, and those attending technical college who are need to be legally blind, maintain a 3.0 GPA to be eligible for most scholarships, be a full-time student or a part-time student who works at least 32 hours per week, and be involved in their school and local community."
February 15,Dell Scholars Scholarship,"$20,000",High school,https://www.dellscholars.org/scholarship/,December 15,"Be a high school senior participating in an approved college readiness program
Plan to enroll full-time at an accredited four-year college or university right after high school
Be Pell Grant eligible
Have at least a 2.4 GPA"
Feburary 15,Ashby Thelen Lowry Legal Scholarship,"$1,000","Undergraduate, Graduate",https://www.atllaw.com/scholarship/,,"Hold a minimum 3.0 GPA
The recipient is a U.S. citizen or otherwise authorized to work in the United States
The recipient is accepted and will either be attending school as a pre-law undergraduate or entering law school in the fall of 2027"
Feburary 15,HSF Scholar Program Application,"$500-$5,000","High school, Undergraduate, Graduate",https://www.hsf.net/scholarship,January 5,"US Citizen, Permanent Legal Resident, or DACA 
Minimum of 3.0 GPA on a 4.0 scale (or equivalent) for high school students; minimum of 2.5 GPA on a 4.0 scale (or equivalent) for college and graduate students
Plan to enroll full-time in an accredited, public or not-for-profit, four-year university, or graduate school in the US for the 2026-2027 academic year
Complete and submit the 2026-2027 Free Application for Federal Student Aid (FAFSA)
The HSF Scholar Program is open to students of all races who identify as being of Hispanic heritage"
February 17,McDonald’s HACER® National Scholarship,"$5,000, $10,000, $20,000",High school,https://www.mcdonalds.com/us/en-us/community/hacer.html,,"You’re a high school senior
You’re a legal U.S. resident or a DREAMer/DACA recipient
You’re younger than 21 years old
You carry a minimum 2.8 GPA
You have at least one parent of Hispanic heritage"
February 18,Law Office of Philip R. Nathe Scholarship,"$1,000",Undergraduate,https://www.napervilledui.com/scholarship,,"Achieved a 3.5-grade point average or higher in their most recently completed semester
Are pursuing an undergraduate degree at an accredited college or university within the United States
Are at least 17 years of age
Are citizens or permanent residents of the United States"
February 18,Lounge Lizard Web Design Scholarship,"$1,000","Undergraduate, Graduate",https://www.loungelizard.com/scholarship/,,"Open to students attending school in the United States to submit a web design, past or present, that showcases your creativity and understanding of today’s web design trends and possibilities
Applicant must be a student at an accredited school or be accepted to begin school at an accredited school within 6 months of application."
February 18,Davidson Fellows Scholarship,"$100,000, $50,000, $25,000","K-8, High school",https://www.davidsongifted.org/gifted-programs/fellows-scholarship/,,"Be 18 or younger as of the application deadline to be eligible.
Be a U.S. citizen residing in the United States, or a Permanent Resident of the United States residing in the United States, or be stationed overseas due to active U.S. military duty.
There is no minimum age for eligibility."
February 19,Gordon A. Rich Memorial Scholarship,"Up to $60,000",High school,http://www.gordonrich.org/html/apply.html,September 19,"Applicant must be a dependent child of a full-time employee in the financial services industry. 
Scholarship is open to high school seniors who are enrolling as a full-time first-year student in pursuit of a four-year bachelor’s degree at an accredited college or university in the United States. 
Applicant must have at least a 3.5 GPA, demonstrate financial need, and be a U.S. citizen or legal resident."
February 20,Vegetarian Resource Group,"Up to $20,000",High school,https://www.vrg.org/student/scholar.htm?kclt=573ee4a92e434d6686e14b326590acd4,Fall,Graduating U.S. high school students who have promoted veganism in their schools and/or communities.
February 20,Innovation in Education Scholarship,$500,"High school, Undergraduate, Graduate",https://www.latutors123.com/scholarships/innovation-in-education/,,"Must currently be enrolled as a high school, college/university, or graduate student.
Must have a cumulative GPA of at least 3.0 (or the equivalent)."
February 26,Personal Injury Law and Vulnerable Populations – Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.knightlawfirm.net/scholarship/,,"Applicants must have a Grade Point Average (GPA) of at least 3.0 on a 4.0 scale
Planning to enroll in an accredited undergraduate or graduate program or community college in the United States
High school students are also welcome to apply if they have been accepted to an accredited college or university."
February 28,"BMW/SAE Engineering Scholarship
","$1,500",High school,https://www.sae.org/participate/scholarships/bmw-sae-engineering-scholarship,February 1,"U.S. resident
Must be an Incoming Freshman
Minimum unweighted 3.75 grade point average
Pursue an engineering or related science degree through an ABET accredited program with an interest in mobility and advanced or emerging technologies such as (but not limited to) Automated and Unmanned, Connectivity, Cybersecurity, Shared or Micro Mobility and/or Electrification, Quantum Computing or Blockchain.
Participation in a STEM-related extra-curricular activity /club or employment/shadowing that relates to your intended engineering major"
February 28,Discover the Difference National Academic Scholarship,"$5,000",High school,https://www.trialpro.com/scholarships/,,"To be eligible, an individual must be a high school senior currently enrolled in a public school located in one of the following Florida counties: Orange, Seminole, Brevard, Osceola, Hillsborough, Pinellas, Lake, Polk, Lee, Charlotte, or Collier.
Applicant must have a minimum unweighted 3.0 GPA.
Student must be a US citizen or permanent resident. "
February 28,DEWALT Trades Scholarship,"$5,000","High school, Undergraduate",https://webportalapp.com/sp/login/dewalt-trades-us,November 4,"Currently enrolled in or accepted to a post-secondary school or training program and pursuing a high-demand skilled trade. 
Eligible Locations: United States and Canada"
February 28,Price Benowitz Social Justice Scholarship,"$2,000","High school, Undergraduate, Graduate",https://pricebenowitz.com/social-justice-scholarship-2026/,,"This scholarship is offered to any student currently enrolled in an accredited community college, undergraduate, or graduate program in the United States. This includes incoming first-year college students who are high school graduates or possess a GED.
Candidates for this scholarship should have a minimum GPA of 3.0 or higher and be in good overall academic standing."
February 28,NY Grace LeGendre Endowment Fund Fellowship,"$6,500",Graduate,https://www.gracelegendre.org/Fellowships,Fall,"Be a woman who is a United States citizen, a DACA recipient or a holder of a permanent Green Card and a resident of New York State.
Have a Bachelor's degree
Be currently enrolled in graduate studies in an advanced graduate degree program at an accredited New York State college or university and have already completed at least one semester in that program.
Show evidence of scholastic ability and a need for financial assistance.
Anticipated graduation year must be no later than 2027."
February 28,Action For Nature's International Youth Eco-Hero Award,"Up to $1,000","K-8, High school",https://actionfornature.org/eco-hero-awards/application-form,,"Ages 8 to 16, who have completed an environmental project to apply"
February 28,Delete Cyberbullying Social Media Scholarship,"$1,000","High school, Undergraduate, Graduate",http://www.endcyberbullying.net/scholarship/,,"You must be a high school student (9th-12th grader), college student or graduate student attending or planning to enter an accredited U.S. college or university."
February 28,Act of Kindness Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.parent-volunteer.org/act-of-kindness-scholarship,,"Be currently enrolled or plan to be enrolled part-time or full-time in an accredited U.S. college or university. Vocational/technical, two-year, four-year, or graduate institutions are eligible.
Be a high school junior or senior, undergraduate student, or graduate student
Have a grade point average of 2.5 or above on a 4.0 system"
February 28,Virginia Mae Scholarship,"$1,000","High school, Undergraduate",https://bellajcustomdesigns.com/,,"Must be a U.S. Citizen 
Currently enrolled, graduating high school senior who will be attending a two- or four-year college/university starting in the Fall semester of the upcoming school year"
February 28,J&Y “Books for Good” Scholarship,$300,"High school, Undergraduate, Graduate",https://jnylaw.com/scholarship/,,"Students at accredited colleges, trade schools, universities, and graduate schools in the United States "
